ProductID,Category,ProductName,Price,Rating,Reviews,Description,InStock,ListedBy
17,Home Appliances,Instant Pot Duo 7-in-1,143.5,3.8,[Met all my expectations.*Met all my expectations.*Value for money  satisfied.*Excellent quality and features.],Pressure cooker  6-quart capacity.|,10,Aaron Martinez
18,Home Appliances,iRobot Roomba i7+,149,4.1,[Great product  highly recommend!*Excellent quality and features.*Will purchase again!*Met all my expectations.],Self-emptying robot vacuum.|,10,Robert Harrison
19,Home Appliances,LG OLED C1 Series,154.5,4.4,[Met all my expectations.],65-inch 4K Smart TV  AI ThinQ.|,10,Lindsay Lawrence
20,Home Appliances,Ninja Foodi 9-in-1,160,3.5,[Value for money  satisfied.*Met all my expectations.*Excellent quality and features.*Met all my expectations.],Pressure cooker  air fryer  6.5-quart.|,10,Lindsay Lawrence
21,Home Appliances,KitchenAid Artisan Stand Mixer,165.5,3.8,[Met all my expectations.],5-quart tilt-head  red.|,10,Lindsay Lawrence
22,Books,Educated by Tara Westover,171,4.1,[Value for money  satisfied.*Will purchase again!*Met all my expectations.*Great product  highly recommend!],A memoir of resilience and self-discovery.|,10,Lindsay Lawrence
23,Books,Becoming by Michelle Obama,176.5,4.4,[Met all my expectations.*Met all my expectations.*Value for money  satisfied.*Will purchase again!*Excellent quality and features.],Memoir of the former First Lady.|,10,Aaron Martinez
24,Books,The Alchemist,182,3.5,[Excellent quality and features.*Met all my expectations.*Great product  highly recommend!],A fable about following your dreams.|,10,Aaron Martinez
25,Books,Sapiens: A Brief History of Humankind,187.5,3.8,[Will purchase again!*Will purchase again!],Exploration of human history by Yuval Noah Harari.|,10,Robert Harrison
26,Books,Where the Crawdads Sing,193,4.1,[Great product  highly recommend!*Great product  highly recommend!*Excellent quality and features.*Great product  highly recommend!],A coming-of-age murder mystery by Delia Owens.|,10,Ralph Elliott
27,Books,Atomic Habits by James Clear,198.5,4.4,[Will purchase again!*Value for money  satisfied.*Will purchase again!],Guide to building good habits.|,10,Robert Harrison
28,Books,Educated by Tara Westover,204,3.5,[Value for money  satisfied.],Memoir of growing up in a survivalist family.|,10,Lindsay Lawrence
29,Sports & Outdoors,Wilson Evolution Basketball,209.5,3.8,[Great product  highly recommend!],High-performance indoor basketball.|,10,Joanna Adams
30,Sports & Outdoors,Callaway Golf Supersoft Balls,215,4.1,[Met all my expectations.*Value for money  satisfied.*Will purchase again!],Pack of 12 soft golf balls.|,10,Christopher Acosta
31,Sports & Outdoors,Yeti Tundra 45 Cooler,220.5,4.4,[Value for money  satisfied.],Premium insulated cooler  white.|,10,Aaron Martinez
32,Sports & Outdoors,CamelBak Eddy+ Water Bottle,226,3.85,[Met all my expectations.*Value for money  satisfied.*Value for money  satisfied.],32oz  leak-proof  BPA-free.|,10,Ralph Elliott
33,Sports & Outdoors,Columbia Bugaboo II Pants,231.5,3.8,[Will purchase again!*Met all my expectations.*Will purchase again!*Will purchase again!],Waterproof ski pants  black.|,10,Christopher Acosta
34,Sports & Outdoors,Fitbit Charge 5,237,4.1,[Value for money  satisfied.*Will purchase again!*Great product  highly recommend!],Fitness and health tracker  black.|,10,Christopher Acosta
35,Sports & Outdoors,Garmin Forerunner 245 Music,242.5,4.4,[Great product  highly recommend!*Value for money  satisfied.*Great product  highly recommend!*Great product  highly recommend!*Will purchase again!],GPS running watch with music.|,10,Lindsay Lawrence
